Date : 2026-05-20 18:57:30
Directory : e:\qt_project\SyncCanvas
Total : 148 files,  12561 codes, 1639 comments, 2441 blanks, all 16641 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\qt_project\SyncCanvas\CanvasServer\CMakePresets.json                         | JSON       |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\CanvasServer\gen_message.bat                           | Batch      |         29 |          9 |          9 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\AsioIOServicePool.h  | C++        |         25 |          4 |         11 |         40 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CServer.h            | C++        |         19 |          0 |          3 |         22 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CSession.h           | C++        |         56 |          6 |         11 |         73 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\CanvasServer.h       | C++        |          2 |          3 |          4 |          9 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\ConfigMgr.h          | C++        |         66 |          0 |         10 |         76 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\LogicSystem.h        | C++        |         35 |         10 |         13 |         58 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\MsgNode.h            | C++        |         51 |          6 |          6 |         63 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\RedisMgr.h           | C++        |         30 |          6 |         12 |         48 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Room.h               | C++        |         43 |          9 |         15 |         67 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\RoomMgr.h            | C++        |         20 |          5 |          6 |         31 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\SessionMgr.h         | C++        |         20 |          3 |          5 |         28 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\Singleton.h          | C++        |         31 |          9 |          5 |         45 |
| e:\qt_project\SyncCanvas\CanvasServer\include\CanvasServer\const.h              | C++        |         60 |         18 |          8 |         86 |
| e:\qt_project\SyncCanvas\CanvasServer\src\AsioIOServicePool.cpp                 | C++        |         42 |          8 |          7 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer\src\CServer.cpp                           | C++        |         44 |          0 |          9 |         53 |
| e:\qt_project\SyncCanvas\CanvasServer\src\CSession.cpp                          | C++        |        293 |         41 |         52 |        386 |
| e:\qt_project\SyncCanvas\CanvasServer\src\CanvasServer.cpp                      | C++        |         59 |         18 |         17 |         94 |
| e:\qt_project\SyncCanvas\CanvasServer\src\ConfigMgr.cpp                         | C++        |         40 |          3 |          4 |         47 |
| e:\qt_project\SyncCanvas\CanvasServer\src\LogicSystem.cpp                       | C++        |        508 |         54 |        103 |        665 |
| e:\qt_project\SyncCanvas\CanvasServer\src\RedisMgr.cpp                          | C++        |        244 |         22 |         27 |        293 |
| e:\qt_project\SyncCanvas\CanvasServer\src\Room.cpp                              | C++        |        230 |         28 |         53 |        311 |
| e:\qt_project\SyncCanvas\CanvasServer\src\RoomMgr.cpp                           | C++        |         44 |          2 |         11 |         57 |
| e:\qt_project\SyncCanvas\CanvasServer\src\SessionMgr.cpp                        | C++        |         36 |          4 |         11 |         51 |
| e:\qt_project\SyncCanvas\DBClient\CMakeLists.txt                                | CMake      |         91 |          0 |         18 |        109 |
| e:\qt_project\SyncCanvas\DBClient\README.md                                     | Markdown   |         37 |          0 |          8 |         45 |
| e:\qt_project\SyncCanvas\DBClient\canvas.cpp                                    | C++        |        704 |        150 |        176 |      1,030 |
| e:\qt_project\SyncCanvas\DBClient\canvas.h                                      | C++        |         83 |          8 |         22 |        113 |
| e:\qt_project\SyncCanvas\DBClient\global.cpp                                    | C++        |         21 |          7 |         14 |         42 |
| e:\qt_project\SyncCanvas\DBClient\global.h                                      | C++        |         89 |         11 |         15 |        115 |
| e:\qt_project\SyncCanvas\DBClient\hoverwidget.cpp                               | C++        |        104 |         27 |         34 |        165 |
| e:\qt_project\SyncCanvas\DBClient\hoverwidget.h                                 | C++        |         31 |         15 |         13 |         59 |
| e:\qt_project\SyncCanvas\DBClient\httpmgr.cpp                                   | C++        |         85 |         16 |         17 |        118 |
| e:\qt_project\SyncCanvas\DBClient\httpmgr.h                                     | C++        |         33 |         10 |         10 |         53 |
| e:\qt_project\SyncCanvas\DBClient\joinroomdialog.cpp                            | C++        |         38 |          1 |          9 |         48 |
| e:\qt_project\SyncCanvas\DBClient\joinroomdialog.h                              | C++        |         20 |          0 |         10 |         30 |
| e:\qt_project\SyncCanvas\DBClient\lobbywidget.cpp                               | C++        |        245 |         37 |         55 |        337 |
| e:\qt_project\SyncCanvas\DBClient\lobbywidget.h                                 | C++        |         42 |          0 |         14 |         56 |
| e:\qt_project\SyncCanvas\DBClient\loginwidget.cpp                               | C++        |        153 |         27 |         41 |        221 |
| e:\qt_project\SyncCanvas\DBClient\loginwidget.h                                 | C++        |         36 |         11 |         16 |         63 |
