"filename", "language", "C++", "Markdown", "JSON", "JavaScript", "CMake", "Batch", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\DBClient\welcomewidget.h", "C++", 19, 0, 0, 0, 0, 0, 0, 9, 28
"e:\qt_project\SyncCanvas\DBClient\widthpopup.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 2, 3
"e:\qt_project\SyncCanvas\DBClient\widthpopup.h", "C++", 100, 0, 0, 0, 0, 0, 20, 25, 145
"e:\qt_project\SyncCanvas\GateServer\CMakeLists.txt", "CMake", 0, 0, 0, 0, 106, 0, 0, 16, 122
"e:\qt_project\SyncCanvas\GateServer\CMakePresets.json", "JSON", 0, 0, 101, 0, 0, 0, 0, 1, 102
"e:\qt_project\SyncCanvas\GateServer\README.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 7, 34
"e:\qt_project\SyncCanvas\GateServer\gen_message.bat", "Batch", 0, 0, 0, 0, 0, 23, 10, 8, 41
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\AsioIOServicePool.h", "C++", 25, 0, 0, 0, 0, 0, 4, 11, 40
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\CServer.h", "C++", 23, 0, 0, 0, 0, 0, 1, 0, 24
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\ConfigMgr.h", "C++", 66, 0, 0, 0, 0, 0, 0, 10, 76
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\GateServer.h", "C++", 2, 0, 0, 0, 0, 0, 3, 4, 9
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\HttpConnection.h", "C++", 91, 0, 0, 0, 0, 0, 11, 10, 112
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicGrpcClient.h", "C++", 33, 0, 0, 0, 0, 0, 1, 6, 40
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\LogicSystem.h", "C++", 31, 0, 0, 0, 0, 0, 0, 7, 38
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\RedisMgr.h", "C++", 26, 0, 0, 0, 0, 0, 3, 9, 38
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\Singleton.h", "C++", 29, 0, 0, 0, 0, 0, 9, 5, 43
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\VerifyGrpcClient.h", "C++", 59, 0, 0, 0, 0, 0, 1, 17, 77
"e:\qt_project\SyncCanvas\GateServer\include\GateServer\const.h", "C++", 29, 0, 0, 0, 0, 0, 17, 7, 53
"e:\qt_project\SyncCanvas\GateServer\src\AsioIOServicePool.cpp", "C++", 42, 0, 0, 0, 0, 0, 8, 7, 57
"e:\qt_project\SyncCanvas\GateServer\src\CServer.cpp", "C++", 31, 0, 0, 0, 0, 0, 6, 7, 44
"e:\qt_project\SyncCanvas\GateServer\src\ConfigMgr.cpp", "C++", 40, 0, 0, 0, 0, 0, 3, 4, 47
"e:\qt_project\SyncCanvas\GateServer\src\GateServer.cpp", "C++", 40, 0, 0, 0, 0, 0, 8, 4, 52
"e:\qt_project\SyncCanvas\GateServer\src\HttpConnection.cpp", "C++", 147, 0, 0, 0, 0, 0, 8, 9, 164
"e:\qt_project\SyncCanvas\GateServer\src\LogicGrpcClient.cpp", "C++", 78, 0, 0, 0, 0, 0, 18, 12, 108
"e:\qt_project\SyncCanvas\GateServer\src\LogicSystem.cpp", "C++", 366, 0, 0, 0, 0, 0, 40, 58, 464
"e:\qt_project\SyncCanvas\GateServer\src\RedisMgr.cpp", "C++", 163, 0, 0, 0, 0, 0, 17, 15, 195
"e:\qt_project\SyncCanvas\GateServer\src\VerifyGrpcClient.cpp", "C++", 63, 0, 0, 0, 0, 0, 0, 8, 71
"e:\qt_project\SyncCanvas\LogicServer\CMakeLists.txt", "CMake", 0, 0, 0, 0, 113, 0, 0, 23, 136
"e:\qt_project\SyncCanvas\LogicServer\CMakePresets.json", "JSON", 0, 0, 103, 0, 0, 0, 0, 1, 104
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\ConfigMgr.h", "C++", 66, 0, 0, 0, 0, 0, 0, 10, 76
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServer.h", "C++", 2, 0, 0, 0, 0, 0, 3, 4, 9
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\LogicServiceImpl.h", "C++", 27, 0, 0, 0, 0, 0, 5, 8, 40
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlDao.h", "C++", 16, 0, 0, 0, 0, 0, 4, 8, 28
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlMgr.h", "C++", 17, 0, 0, 0, 0, 0, 4, 3, 24
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlPool.h", "C++", 29, 0, 0, 0, 0, 0, 1, 5, 35
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\RedisMgr.h", "C++", 26, 0, 0, 0, 0, 0, 3, 9, 38
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\Singleton.h", "C++", 29, 0, 0, 0, 0, 0, 9, 5, 43
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\const.h", "C++", 19, 0, 0, 0, 0, 0, 17, 4, 40
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\data.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 9
"e:\qt_project\SyncCanvas\LogicServer\src\ConfigMgr.cpp", "C++", 40, 0, 0, 0, 0, 0, 3, 4, 47
"e:\qt_project\SyncCanvas\LogicServer\src\LogicServer.cpp", "C++", 52, 0, 0, 0, 0, 0, 9, 10, 71
"e:\qt_project\SyncCanvas\LogicServer\src\LogicServiceImpl.cpp", "C++", 195, 0, 0, 0, 0, 0, 22, 27, 244
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlDao.cpp", "C++", 188, 0, 0, 0, 0, 0, 17, 26, 231
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlMgr.cpp", "C++", 24, 0, 0, 0, 0, 0, 2, 6, 32
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlPool.cpp", "C++", 65, 0, 0, 0, 0, 0, 3, 3, 71
"e:\qt_project\SyncCanvas\LogicServer\src\RedisMgr.cpp", "C++", 163, 0, 0, 0, 0, 0, 17, 15, 195
"e:\qt_project\SyncCanvas\README.md", "Markdown", 0, 171, 0, 0, 0, 0, 0, 35, 206
"e:\qt_project\SyncCanvas\VerifyServer\config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 4, 5, 22
"e:\qt_project\SyncCanvas\VerifyServer\config.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 2, 19
"e:\qt_project\SyncCanvas\VerifyServer\const.js", "JavaScript", 0, 0, 0, 7, 0, 0, 1, 2, 10
"e:\qt_project\SyncCanvas\VerifyServer\email.js", "JavaScript", 0, 0, 0, 25, 0, 0, 9, 6, 40
"e:\qt_project\SyncCanvas\VerifyServer\package-lock.json", "JSON", 0, 0, 563, 0, 0, 0, 0, 1, 564
"e:\qt_project\SyncCanvas\VerifyServer\package.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 1, 21
"e:\qt_project\SyncCanvas\VerifyServer\proto.js", "JavaScript", 0, 0, 0, 10, 0, 0, 9, 7, 26
"e:\qt_project\SyncCanvas\VerifyServer\redis.js", "JavaScript", 0, 0, 0, 61, 0, 0, 27, 3, 91
"e:\qt_project\SyncCanvas\VerifyServer\server.js", "JavaScript", 0, 0, 0, 55, 0, 0, 6, 12, 73
"Total", "-", 9101, 235, 1010, 171, 547, 81, 1553, 2135, 14833
