"filename", "language", "C++", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\DBClient\canvas.cpp", "C++", 12, 1, 4, 17
"e:\qt_project\SyncCanvas\DBClient\canvas.h", "C++", 3, 0, 2, 5
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.cpp", "C++", 23, 0, 2, 25
"e:\qt_project\SyncCanvas\DBClient\lobbywidget.h", "C++", 2, 0, 0, 2
"e:\qt_project\SyncCanvas\DBClient\mainwindow.cpp", "C++", 17, 2, 4, 23
"e:\qt_project\SyncCanvas\DBClient\mainwindow.h", "C++", 2, 0, 0, 2
"e:\qt_project\SyncCanvas\DBClient\usermgr.cpp", "C++", 8, 0, 2, 10
"e:\qt_project\SyncCanvas\DBClient\usermgr.h", "C++", 3, 0, 0, 3
"Total", "-", 70, 3, 14, 87
