Date : 2026-02-06 20:59:42
Directory : e:\qt_project\SyncCanvas
Total : 145 files,  9989 codes, 1401 comments, 1876 blanks, all 13266 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |        121 |      8,115 |      1,317 |      1,692 |     11,124 |
| JSON       |          7 |      1,010 |          0 |          8 |      1,018 |
| CMake      |          5 |        544 |          0 |         99 |        643 |
| JavaScript |          6 |        171 |         56 |         35 |        262 |
| Batch      |          3 |         81 |         28 |         26 |        135 |
| Markdown   |          3 |         68 |          0 |         16 |         84 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        145 |      9,989 |      1,401 |      1,876 |     13,266 |
| . (Files)                                                                       |          1 |          4 |          0 |          1 |          5 |
| CanvasServer                                                                    |         26 |      1,814 |        255 |        345 |      2,414 |
| CanvasServer (Files)                                                            |          3 |        250 |          9 |         32 |        291 |
| CanvasServer2                                                                   |         26 |      1,817 |        255 |        343 |      2,415 |
| CanvasServer2 (Files)                                                           |          3 |        251 |          9 |         30 |        290 |
| CanvasServer2\include                                                           |         13 |        430 |         73 |        102 |        605 |
| CanvasServer2\include\CanvasServer                                              |         13 |        430 |         73 |        102 |        605 |
| CanvasServer2\src                                                               |         10 |      1,136 |        173 |        211 |      1,520 |
| CanvasServer\include                                                            |         13 |        430 |         73 |        102 |        605 |
| CanvasServer\include\CanvasServer                                               |         13 |        430 |         73 |        102 |        605 |
| CanvasServer\src                                                                |         10 |      1,134 |        173 |        211 |      1,518 |
| DBClient                                                                        |         40 |      2,759 |        548 |        735 |      4,042 |
| GateServer                                                                      |         24 |      1,641 |        168 |        242 |      2,051 |
| GateServer (Files)                                                              |          4 |        257 |         10 |         32 |        299 |
| GateServer\include                                                              |         11 |        414 |         50 |         86 |        550 |
| GateServer\include\GateServer                                                   |         11 |        414 |         50 |         86 |        550 |
| GateServer\src                                                                  |          9 |        970 |        108 |        124 |      1,202 |
| LogicServer                                                                     |         19 |      1,183 |        119 |        171 |      1,473 |
| LogicServer (Files)                                                             |          2 |        216 |          0 |         24 |        240 |
| LogicServer\include                                                             |         10 |        240 |         46 |         56 |        342 |
| LogicServer\include\LogicServer                                                 |         10 |        240 |         46 |         56 |        342 |
| LogicServer\src                                                                 |          7 |        727 |         73 |         91 |        891 |
| VerifyServer                                                                    |          9 |        771 |         56 |         39 |        866 |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                        | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\qt_project\SyncCanvas\CanvasServer2\CMakeLists.txt                           | CMake      |        119 |          0 |         20 |        139 |
| e:\qt_project\SyncCanvas\CanvasServer2\CMakePresets.json                        | JSON       |        103 |          0 |          1 |        104 |
| e:\qt_project\SyncCanvas\CanvasServer2\gen_message.bat                          | Batch      |         29 |          9 |          9 |         47 |
